name,segment,exchange,isin,expiry,country,latency,description,currency,weekly,instrument_key,exchange_token,trading_symbol,short_name,tick_size,lot_size,instrument_type,freeze_quantity,underlying_key,underlying_type,underlying_symbol,last_trading_date,strike_price,price_quote_unit,qty_multiplier,minimum_lot,start_time,end_time,week_days,general_denominator,general_numerator,price_numerator,price_denominator,mtf_enabled,mtf_bracket,security_type
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55468,55468,NIFTY 16500 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,16500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55469,55469,NIFTY 16500 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,16500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|35352,35352,NIFTY 30000 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,30000.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|35353,35353,NIFTY 30000 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,30000.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55470,55470,NIFTY 19500 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,19500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55471,55471,NIFTY 19500 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,19500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55472,55472,NIFTY 22500 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,22500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55475,55475,NIFTY 22500 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,22500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55476,55476,NIFTY 25500 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,25500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55477,55477,NIFTY 25500 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,25500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55479,55479,NIFTY 28500 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,28500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55480,55480,NIFTY 31500 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,31500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55481,55481,NIFTY 31500 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,31500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|55478,55478,NIFTY 28500 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,28500.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|86146,86146,NIFTY 21000 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,21000.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|86148,86148,NIFTY 22000 PE 27 JUN 28,,5.0,65,PE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,22000.0,,,65,,,,,,,,,,
NIFTY,NSE_FO,NSE,,2028-06-27,,,,,False,NSE_FO|86151,86151,NIFTY 24000 CE 27 JUN 28,,5.0,65,CE,1755.0,NSE_INDEX|Nifty 50,INDEX,NIFTY,,24000.0,,,65,,,,,,,,,,
