EntryTime,ExitTime,EntryPrice,ExitPrice,Profit,Result,EMA20,EMA50,EMA200,RSI,ADX,ATR,MACD,MACD_SIGNAL,AI_SCORE
2026-04-15 14:50:00+05:30,2026-04-15 15:10:00+05:30,24250.45,24227.85,-22.6,LOSS,24226.27,24221.75,24224.97,66.12,37.95,17.1,6.65,3.4,74.0
2026-04-16 09:15:00+05:30,2026-04-16 09:35:00+05:30,24390.55,24326.8,-63.75,LOSS,24243.89,24230.84,24227.17,79.27,47.68,29.43,14.95,6.93,78.0
2026-04-16 09:40:00+05:30,2026-04-16 10:25:00+05:30,24301.95,24300.75,-1.2,LOSS,24284.66,24252.48,24233.24,58.5,44.62,37.36,31.08,23.56,80.0
2026-04-16 13:50:00+05:30,2026-04-16 14:00:00+05:30,24183.45,24145.3,-38.15,LOSS,24154.97,24196.46,24226.63,61.53,42.06,24.22,-21.06,-30.6,75.0
2026-04-16 14:50:00+05:30,2026-04-16 15:00:00+05:30,24240.75,24202.95,-37.8,LOSS,24187.99,24196.37,24222.86,77.29,36.04,23.64,13.63,1.07,71.0
2026-04-16 15:10:00+05:30,2026-04-17 09:40:00+05:30,24183.9,24191.35,7.45,WIN,24190.21,24196.31,24221.83,60.21,35.84,26.19,8.1,6.97,71.0
2026-04-17 09:55:00+05:30,2026-04-17 10:55:00+05:30,24232.1,24254.95,22.85,WIN,24204.31,24200.79,24220.14,55.79,41.83,38.66,9.43,7.4,72.0
2026-04-17 14:30:00+05:30,2026-04-17 15:10:00+05:30,24314.2,24354.55,40.35,WIN,24300.26,24280.52,24247.14,71.57,32.38,13.29,10.9,9.99,71.0
2026-04-17 15:15:00+05:30,2026-04-20 15:15:00+05:30,24361.75,24325.15,-36.6,LOSS,24329.94,24301.24,24255.85,75.31,42.26,16.01,18.72,16.28,81.0
2026-04-21 09:15:00+05:30,2026-04-21 11:10:00+05:30,24468.85,24557.45,88.6,WIN,24352.82,24320.08,24264.59,72.46,30.5,28.28,20.25,17.27,72.0
2026-04-27 09:35:00+05:30,2026-04-27 10:30:00+05:30,24007.2,24023.2,16.0,WIN,23945.42,23931.98,24093.79,63.32,33.17,37.84,34.04,20.77,71.0
2026-04-27 12:50:00+05:30,2026-04-27 14:30:00+05:30,24074.3,24083.5,9.2,WIN,24052.1,24026.77,24080.64,84.53,30.3,18.4,12.53,9.22,71.0
2026-04-29 09:55:00+05:30,2026-04-29 10:25:00+05:30,24173.2,24290.15,116.95,WIN,24082.06,24058.19,24072.97,78.12,34.95,35.09,37.86,21.11,75.0
2026-04-29 10:30:00+05:30,2026-04-29 13:25:00+05:30,24283.2,24305.2,22.0,WIN,24168.59,24105.09,24084.83,89.62,67.32,28.33,64.94,49.92,88.0
2026-05-04 09:25:00+05:30,2026-05-04 10:10:00+05:30,24214.55,24175.2,-39.35,LOSS,24058.14,24011.34,24047.04,70.49,25.58,48.43,43.47,26.82,70.0
2026-05-06 09:30:00+05:30,2026-05-06 10:05:00+05:30,24162.75,24107.0,-55.75,LOSS,24078.57,24042.25,24049.65,75.34,30.74,38.37,36.4,21.64,73.0
2026-05-06 13:30:00+05:30,2026-05-06 14:20:00+05:30,24086.35,24250.5,164.15,WIN,24060.06,24068.92,24063.42,61.65,59.51,20.88,-5.69,-13.23,75.0
2026-05-06 14:25:00+05:30,2026-05-07 09:50:00+05:30,24311.65,24335.2,23.55,WIN,24127.72,24097.96,24071.96,95.31,55.7,29.48,38.65,16.31,81.0
2026-05-07 12:45:00+05:30,2026-05-07 12:55:00+05:30,24442.8,24388.25,-54.55,LOSS,24369.65,24325.85,24188.38,72.63,26.61,30.52,26.46,14.8,71.0
2026-05-07 13:00:00+05:30,2026-05-07 13:15:00+05:30,24402.4,24350.7,-51.7,LOSS,24377.45,24334.22,24194.63,63.73,28.84,33.1,23.32,19.46,73.0
2026-05-14 09:15:00+05:30,2026-05-14 09:35:00+05:30,23550.05,23524.5,-25.55,LOSS,23468.7,23476.2,23610.75,55.95,59.43,36.3,-11.45,-12.43,71.0
2026-05-14 11:40:00+05:30,2026-05-14 14:45:00+05:30,23668.6,23694.7,26.1,WIN,23529.12,23505.0,23586.32,67.58,30.74,40.48,31.03,9.84,71.0
2026-05-15 09:40:00+05:30,2026-05-15 11:00:00+05:30,23801.85,23781.85,-20.0,LOSS,23736.73,23698.61,23639.78,70.35,28.0,38.02,17.15,9.52,71.0
2026-05-15 12:35:00+05:30,2026-05-15 13:35:00+05:30,23743.9,23740.1,-3.8,LOSS,23744.09,23742.61,23677.1,62.78,48.34,22.02,-8.49,-9.15,75.0
2026-05-21 09:15:00+05:30,2026-05-21 10:05:00+05:30,23766.85,23763.6,-3.25,LOSS,23664.77,23636.35,23631.45,70.22,48.03,30.43,21.61,18.17,81.0
2026-05-21 13:45:00+05:30,2026-05-21 15:10:00+05:30,23664.65,23639.2,-25.45,LOSS,23661.92,23679.49,23662.27,60.88,55.9,24.1,-12.57,-18.64,75.0
2026-05-22 09:25:00+05:30,2026-05-22 11:15:00+05:30,23738.6,23766.6,28.0,WIN,23676.46,23674.84,23663.64,68.35,34.54,30.82,10.6,1.27,70.0
2026-05-22 11:55:00+05:30,2026-05-22 12:20:00+05:30,23804.85,23775.7,-29.15,LOSS,23778.89,23748.04,23693.05,58.56,31.43,18.31,16.24,15.86,71.0
2026-05-22 12:50:00+05:30,2026-05-22 13:40:00+05:30,23831.55,23801.25,-30.3,LOSS,23789.88,23764.29,23703.46,60.94,40.9,16.4,11.22,10.11,80.0
2026-05-25 09:15:00+05:30,2026-05-25 11:30:00+05:30,23967.6,23962.4,-5.2,LOSS,23765.2,23766.47,23722.39,78.49,77.47,35.96,4.44,-13.05,75.0
2026-05-25 13:15:00+05:30,2026-05-25 13:40:00+05:30,23982.6,23963.95,-18.65,LOSS,23966.5,23938.89,23816.04,62.01,35.93,13.2,5.2,5.06,77.0
2026-05-25 15:00:00+05:30,2026-05-26 09:15:00+05:30,24032.55,24012.55,-20.0,LOSS,23993.99,23968.28,23848.49,76.0,31.76,14.24,15.88,9.31,72.0
2026-05-26 09:20:00+05:30,2026-05-26 09:55:00+05:30,24020.6,24028.75,8.15,WIN,24011.26,23983.03,23860.68,63.73,48.54,20.09,15.33,15.24,81.0
2026-05-29 14:30:00+05:30,2026-05-29 15:00:00+05:30,23792.55,23569.4,-223.15,LOSS,23776.61,23820.32,23885.49,57.75,74.63,19.12,-22.81,-28.39,73.0
