Date,Action,Option,Premium,Lot Size,Profit,Balance
2026-07-16 13:03:10,BUY,NIFTY 24100 PE 21 JUL 26,116.7,65,0,100000
2026-07-16 13:06:18,SELL,NIFTY 24100 PE 21 JUL 26,114.0,65,-175.5,99824.5
2026-07-16 13:16:24,BUY,NIFTY 24100 PE 21 JUL 26,123.35,65,0,99824.5
2026-07-16 13:19:51,SELL,NIFTY 24100 PE 21 JUL 26,122.35,65,-65.0,99759.5
2026-07-16 13:30:07,BUY,NIFTY 24100 PE 21 JUL 26,128.1,65,0,99759.5
2026-07-16 13:32:21,SELL,NIFTY 24100 PE 21 JUL 26,149.7,65,1404.0,101163.5
2026-07-16 13:32:23,BUY,NIFTY 24100 PE 21 JUL 26,149.7,65,0,101163.5
2026-07-16 13:33:27,SELL,NIFTY 24100 PE 21 JUL 26,144.25,65,-354.25,100809.25
2026-07-16 13:33:28,BUY,NIFTY 24100 PE 21 JUL 26,144.25,65,0,100809.25
2026-07-16 13:35:36,SELL,NIFTY 24100 PE 21 JUL 26,143.35,65,-58.5,100750.75
2026-07-16 13:35:38,BUY,NIFTY 24100 PE 21 JUL 26,143.35,65,0,100750.75
2026-07-16 13:38:51,SELL,NIFTY 24100 PE 21 JUL 26,153.4,65,653.25,101404.0
2026-07-16 13:38:54,BUY,NIFTY 24050 PE 21 JUL 26,153.4,65,0,101404.0
2026-07-16 13:40:15,SELL,NIFTY 24050 PE 21 JUL 26,132.1,65,-1384.5,100019.5
2026-07-16 13:40:26,BUY,NIFTY 24050 PE 21 JUL 26,132.1,65,0,100019.5
2026-07-16 13:44:34,SELL,NIFTY 24050 PE 21 JUL 26,137.9,65,377.0,100396.5
2026-07-16 13:44:36,BUY,NIFTY 24050 PE 21 JUL 26,137.9,65,0,100396.5
2026-07-16 13:47:14,SELL,NIFTY 24050 PE 21 JUL 26,138.15,65,16.25,100412.75
2026-07-16 13:47:16,BUY,NIFTY 24050 PE 21 JUL 26,138.15,65,0,100412.75
2026-07-16 13:53:25,SELL,NIFTY 24050 PE 21 JUL 26,126.2,65,-776.75,99636.0
2026-07-16 14:18:48,BUY,NIFTY 24100 CE 21 JUL 26,125.7,65,0,99636.0
2026-07-16 14:22:07,SELL,NIFTY 24100 CE 21 JUL 26,119.35,65,-412.75,99223.25
2026-07-16 14:39:22,BUY,NIFTY 24100 PE 21 JUL 26,137.45,65,0,99223.25
2026-07-16 14:42:41,SELL,NIFTY 24100 PE 21 JUL 26,136.25,65,-78.0,99145.25
2026-07-16 15:27:26,BUY,NIFTY 24050 PE 21 JUL 26,114.3,65,0,99145.25
2026-07-17 10:24:43,BUY,NIFTY 24250 CE 21 JUL 26,123.2,65,0,100000
2026-07-17 10:30:57,SELL,NIFTY 24250 CE 21 JUL 26,136.65,65,874.25,100874.25
2026-07-17 10:32:59,BUY,NIFTY 24300 CE 21 JUL 26,113.15,65,0,100874.25
2026-07-17 10:36:03,SELL,NIFTY 24300 CE 21 JUL 26,104.05,65,-591.5,100282.75
2026-07-17 10:36:05,BUY,NIFTY 24300 CE 21 JUL 26,104.05,65,0,100282.75
2026-07-17 10:45:10,SELL,NIFTY 24300 CE 21 JUL 26,95.2,65,-575.25,99707.5
2026-07-17 12:46:47,BUY,NIFTY 24300 CE 21 JUL 26,98.0,65,0,100000
2026-07-17 12:49:58,SELL,NIFTY 24300 CE 21 JUL 26,108.0,65,650.0,100650.0
2026-07-17 13:51:33,BUY,NIFTY 24250 PE 21 JUL 26,162.25,65,0,100650.0
2026-07-17 13:54:39,SELL,NIFTY 24250 PE 21 JUL 26,157.15,65,-331.5,100318.5
2026-07-17 13:54:41,BUY,NIFTY 24250 PE 21 JUL 26,157.15,65,0,100318.5
2026-07-17 13:58:47,SELL,NIFTY 24250 PE 21 JUL 26,151.75,65,-351.0,99967.5
2026-07-17 14:20:13,BUY,NIFTY 24300 CE 21 JUL 26,119.95,65,0,99967.5
2026-07-17 14:21:18,SELL,NIFTY 24300 CE 21 JUL 26,114.7,65,-341.25,99626.25
2026-07-17 14:21:29,BUY,NIFTY 24300 CE 21 JUL 26,114.7,65,0,99626.25
2026-07-17 14:23:34,SELL,NIFTY 24300 CE 21 JUL 26,108.7,65,-390.0,99236.25
2026-07-17 14:23:37,BUY,NIFTY 24300 CE 21 JUL 26,108.7,65,0,99236.25
2026-07-17 14:29:01,SELL,NIFTY 24300 CE 21 JUL 26,118.9,65,663.0,99899.25
2026-07-17 14:45:16,BUY,NIFTY 24300 CE 21 JUL 26,119.3,65,0,100000
2026-07-17 14:48:24,SELL,NIFTY 24300 CE 21 JUL 26,117.4,65,-123.5,99876.5
2026-07-17 14:56:39,BUY,NIFTY 24350 CE 21 JUL 26,93.6,65,0,99876.5
2026-07-17 14:59:07,SELL,NIFTY 24350 CE 21 JUL 26,92.3,65,-84.5,99792.0
